RMs,LMs,UMs,Class
1.98242,2.017493,2.015046,AK-47
1.983536,2.013178,2.012231,AK-47
1.982642,1.981467,1.975578,AK-47
1.985011,1.983073,1.975676,AK-47
1.978534,1.981516,1.981133,AK-47
1.984338,1.985128,1.973305,AK-47
1.982546,1.975954,1.973373,AK-47
1.983592,1.983518,1.972172,AK-47
1.963933,1.980103,1.979312,AK-47
1.965566,1.977776,1.9777,AK-47
1.961723,1.900019,1.983207,AK-47
1.963748,1.901404,1.983707,AK-47
1.96769,1.93884,1.983837,AK-47
1.966704,1.931374,1.984979,AK-47
1.969262,1.987332,1.979216,AK-47
1.969517,1.991122,1.9802,AK-47
1.964257,1.985045,1.978921,AK-47
1.968707,1.984949,1.980947,AK-47
1.967834,1.983684,1.979968,AK-47
1.970865,1.990223,1.97867,AK-47
1.96725,1.987485,1.981377,AK-47
1.962584,1.980825,1.982226,AK-47
1.967103,1.9823,1.985415,AK-47
1.9665,1.984485,1.985241,AK-47
1.967988,1.988439,1.98648,AK-47
1.962059,1.981411,1.977541,AK-47
1.969168,1.987267,1.978766,AK-47
1.96217,1.990182,1.981639,AK-47
1.968361,1.986796,1.979483,AK-47
1.964426,1.985594,1.98712,AK-47
1.964847,1.985366,1.980558,AK-47
1.962303,1.988423,1.981087,AK-47
1.964746,1.987637,1.978382,AK-47
1.968556,1.979825,1.9764,AK-47
1.961135,1.975418,1.977049,AK-47
1.968859,1.974095,1.980284,AK-47
1.970433,1.969205,1.975433,AK-47
1.960794,1.973288,1.977891,AK-47
1.969862,1.948754,1.977404,AK-47
1.964281,1.952955,1.977706,AK-47
1.967236,1.929269,1.975463,AK-47
1.964814,1.930066,1.974018,AK-47
1.963135,1.924601,1.987288,AK-47
1.967452,1.922795,1.978666,AK-47
1.968833,1.925616,1.980827,AK-47
1.970131,1.929181,1.982505,AK-47
1.96498,1.931253,1.986467,AK-47
1.962522,1.930559,1.980919,AK-47
1.969601,1.929871,1.986591,AK-47
1.96496,1.929926,1.983351,AK-47
1.961972,1.926764,1.985409,AK-47
1.961028,1.928574,1.983013,AK-47
1.964774,1.923752,1.982082,AK-47
1.960193,1.928291,1.987115,AK-47
1.962902,1.930098,1.982553,AK-47
1.96548,1.923766,1.97936,AK-47
1.963881,1.92675,1.985232,AK-47
1.960339,1.930515,1.987172,AK-47
1.961119,1.925836,1.985843,AK-47
1.964144,1.921374,1.977852,AK-47
1.96436,1.927987,1.974915,AK-47
1.961248,1.921892,1.97469,AK-47
1.969767,1.923854,1.972691,AK-47
1.964128,1.929547,1.967575,AK-47
1.953801,1.913031,1.960248,AK-47
1.954467,1.916961,1.958017,AK-47
1.951486,1.906595,1.960019,AK-47
1.947859,1.913146,1.957969,AK-47
1.946641,1.907232,1.95536,AK-47
1.950533,1.909327,1.960927,AK-47
1.949553,1.908643,1.957476,AK-47
1.948021,1.914856,1.958206,AK-47
1.946274,1.915155,1.961728,AK-47
1.946758,1.912402,1.961025,AK-47
1.942844,1.911122,1.958501,AK-47
1.951448,1.915428,1.959883,AK-47
1.944834,1.9146,1.960642,AK-47
1.943274,1.913594,1.957326,AK-47
1.946937,1.906469,1.958778,AK-47
1.94262,1.908996,1.963755,AK-47
1.948719,1.911914,1.961528,AK-47
1.946895,1.912811,1.958383,AK-47
1.947918,1.908182,1.960529,AK-47
1.949114,1.905652,1.962293,AK-47
1.942907,1.913044,1.957919,AK-47
1.947066,1.908284,1.963461,AK-47
1.945636,1.908262,1.958529,AK-47
1.944098,1.911142,1.958779,AK-47
1.946821,1.913187,1.96136,AK-47
1.941194,1.907399,1.957728,AK-47
1.94579,1.906717,1.956836,AK-47
1.941969,1.909743,1.96344,AK-47
1.942112,1.908201,1.96372,AK-47
1.942548,1.911024,1.96132,AK-47
1.947042,1.911331,1.959229,AK-47
1.941745,1.905032,1.964512,AK-47
1.940002,1.907506,1.96319,AK-47
1.938771,1.906145,1.960565,AK-47
1.938266,1.914939,1.956235,AK-47
1.935241,1.890692,1.962805,AK-47
1.634339,1.890582,1.963101,AK-47
1.633986,1.893367,1.964699,AK-47
1.609678,1.891861,1.957789,AK-47
1.6159,1.901281,1.961847,AK-47
1.589532,1.896655,1.957904,AK-47
1.591029,1.891841,1.961031,AK-47
1.557911,1.89591,1.964189,AK-47
1.557386,1.893443,1.961849,AK-47
1.554142,1.897027,1.960447,AK-47
1.551956,1.901129,1.962749,AK-47
1.545533,1.894826,1.958401,AK-47
