RMs,LMs,UMs,Class
1.201463,1.198922,1.689556,Backpack
1.200879,1.205212,1.694399,Backpack
1.195938,1.19321,1.633943,Backpack
1.192225,1.192454,1.630676,Backpack
1.184435,1.196561,1.582793,Backpack
1.187473,1.193402,1.582998,Backpack
1.182666,1.188464,1.550434,Backpack
1.187773,1.189026,1.548412,Backpack
1.17837,1.184655,1.510834,Backpack
1.184188,1.188891,1.515067,Backpack
1.175438,1.17647,1.495636,Backpack
1.174013,1.176704,1.500916,Backpack
1.177368,1.174121,1.483261,Backpack
1.175472,1.172776,1.481745,Backpack
1.16636,1.16809,1.46944,Backpack
1.169605,1.167489,1.464227,Backpack
1.166727,1.16502,1.452245,Backpack
1.168463,1.166062,1.455427,Backpack
1.159477,1.159926,1.432408,Backpack
1.161493,1.16394,1.438296,Backpack
1.157967,1.163055,1.417384,Backpack
1.163763,1.163495,1.416344,Backpack
1.159167,1.156476,1.399731,Backpack
1.151989,1.155771,1.405174,Backpack
1.15145,1.153451,1.392324,Backpack
1.155117,1.145675,1.390751,Backpack
1.139995,1.134068,1.372051,Backpack
1.133145,1.12932,1.378953,Backpack
1.079487,1.067002,1.354644,Backpack
1.0751,1.070248,1.350346,Backpack
1.072868,1.061492,1.343204,Backpack
1.072209,1.066882,1.346193,Backpack
1.064906,1.060544,1.333984,Backpack
1.062247,1.063071,1.334707,Backpack
1.061791,1.060634,1.32851,Backpack
1.067391,1.057964,1.328246,Backpack
1.065698,1.063817,1.225607,Backpack
1.069015,1.057679,1.218841,Backpack
1.060678,1.059896,1.220841,Backpack
1.062994,1.063219,1.218024,Backpack
1.060071,1.055331,1.227495,Backpack
1.060938,1.055785,1.222407,Backpack
1.059827,1.061096,1.225731,Backpack
1.065834,1.062649,1.221554,Backpack
1.063138,1.062569,1.219786,Backpack
1.065162,1.058531,1.22754,Backpack
1.071134,1.057999,1.220257,Backpack
1.066208,1.066669,1.221902,Backpack
1.070719,1.065407,1.224218,Backpack
1.072965,1.06892,1.22025,Backpack
1.070045,1.065937,1.218441,Backpack
1.0767,1.062516,1.226538,Backpack
1.076938,1.075097,1.224906,Backpack
1.078706,1.07551,1.226428,Backpack
1.081933,1.077395,1.221782,Backpack
1.074969,1.074559,1.218552,Backpack
1.085616,1.070832,1.221665,Backpack
1.081526,1.076211,1.222899,Backpack
1.077246,1.073654,1.227729,Backpack
1.079421,1.069625,1.225715,Backpack
1.076976,1.067761,1.244928,Backpack
1.071793,1.063733,1.250564,Backpack
1.072529,1.069923,1.244442,Backpack
1.072645,1.070007,1.249825,Backpack
1.074046,1.068837,1.251027,Backpack
1.076458,1.066073,1.253741,Backpack
1.076379,1.068298,1.257327,Backpack
1.075902,1.068689,1.254959,Backpack
1.078612,1.070781,1.257821,Backpack
1.075318,1.070746,1.250171,Backpack
1.078399,1.075567,1.25631,Backpack
1.078567,1.068008,1.256053,Backpack
1.079531,1.07714,1.252442,Backpack
1.081207,1.071393,1.259873,Backpack
1.095164,1.096513,1.260237,Backpack
1.100428,1.094607,1.259851,Backpack
1.150064,1.151129,1.274973,Backpack
1.15,1.153625,1.269296,Backpack
1.160951,1.156173,1.281809,Backpack
1.157932,1.153576,1.280595,Backpack
1.165295,1.156209,1.299829,Backpack
1.160736,1.157886,1.300087,Backpack
1.170762,1.166887,1.322311,Backpack
1.162166,1.169425,1.315521,Backpack
1.167598,1.173229,1.334494,Backpack
1.166661,1.1731,1.326678,Backpack
1.177994,1.177675,1.353223,Backpack
1.171382,1.178793,1.353035,Backpack
1.181886,1.181738,1.36972,Backpack
1.183541,1.180071,1.364715,Backpack
1.185931,1.180858,1.377483,Backpack
1.178642,1.185615,1.379466,Backpack
1.1895,1.186406,1.388845,Backpack
1.181746,1.183271,1.389476,Backpack
1.191942,1.186857,1.403386,Backpack
1.193821,1.186918,1.410241,Backpack
1.190808,1.192102,1.427067,Backpack
1.187006,1.188936,1.426447,Backpack
1.193938,1.199116,1.522262,Backpack
1.191609,1.199316,1.522198,Backpack
1.188926,1.187431,1.469817,Backpack
1.17995,1.184327,1.470121,Backpack
1.186988,1.18942,1.474223,Backpack
1.189237,1.189767,1.47041,Backpack
1.179957,1.186199,1.474432,Backpack
1.180357,1.185512,1.47328,Backpack
1.20845,1.203833,1.45516,Backpack
1.203858,1.208352,1.454379,Backpack
1.204538,1.211187,1.485596,Backpack
1.205345,1.206231,1.491088,Backpack
1.203102,1.20342,1.477902,Backpack
1.202202,1.205109,1.47998,Backpack
1.201069,1.212207,1.479299,Backpack
1.202107,1.20632,1.472917,Backpack
1.207887,1.209888,1.483847,Backpack
1.207967,1.205863,1.480927,Backpack
1.200655,1.207551,1.482259,Backpack
1.209298,1.210341,1.486033,Backpack
1.205564,1.207157,1.461247,Backpack
1.202755,1.213179,1.462505,Backpack
1.203099,1.206562,1.482832,Backpack
1.202173,1.208948,1.48248,Backpack
1.208481,1.209827,1.476248,Backpack
1.204298,1.21199,1.481495,Backpack
1.203311,1.206159,1.474915,Backpack
1.202747,1.211342,1.482322,Backpack
1.201917,1.211793,1.481995,Backpack
1.208825,1.206338,1.477725,Backpack
1.2093,1.207199,1.475542,Backpack
1.207529,1.208086,1.480474,Backpack
1.201005,1.205653,1.407923,Backpack
1.202769,1.206134,1.410472,Backpack
1.205011,1.203813,1.408769,Backpack
1.207107,1.20416,1.406353,Backpack
1.206666,1.205259,1.401914,Backpack
1.205427,1.212665,1.401764,Backpack
1.206266,1.21155,1.393955,Backpack
1.202935,1.211686,1.392593,Backpack
1.205101,1.208488,1.472861,Backpack
1.203055,1.204735,1.474757,Backpack
1.20628,1.210138,1.471159,Backpack
1.20895,1.205696,1.470426,Backpack
1.206137,1.207024,1.476763,Backpack
1.204852,1.208463,1.470647,Backpack
1.209631,1.205023,1.466567,Backpack
1.208497,1.204542,1.467232,Backpack
1.207337,1.213121,1.465847,Backpack
1.20233,1.203989,1.474664,Backpack
1.200978,1.207012,1.472681,Backpack
1.206839,1.203493,1.466022,Backpack
1.199947,1.211579,1.465776,Backpack
1.208386,1.203514,1.465014,Backpack
1.201554,1.211386,1.470505,Backpack
1.206307,1.20703,1.463227,Backpack
1.201104,1.207048,1.471109,Backpack
1.209246,1.206096,1.466217,Backpack
1.203633,1.210549,1.470052,Backpack
1.209318,1.208073,1.464939,Backpack
1.202615,1.21173,1.461671,Backpack
