RMs,LMs,UMs,Class
0.9631698,0.9648593,1.293772,Bag
0.9626536,0.9626547,1.294991,Bag
0.955915,0.9662022,1.299577,Bag
0.9601426,0.9621757,1.302379,Bag
0.9628964,0.9667061,1.295329,Bag
0.9617189,0.96213,1.294106,Bag
0.9574857,0.9686831,1.299912,Bag
0.9565287,0.9687483,1.300083,Bag
0.9557198,0.9646465,1.298501,Bag
0.9628053,0.9614493,1.294819,Bag
0.955012,0.9658805,1.297138,Bag
0.960453,0.9688808,1.309857,Bag
0.6450006,0.9698247,1.29304,Bag
0.6516584,0.9701285,1.294106,Bag
0.6489064,0.6485364,1.297671,Bag
0.6445293,0.644537,1.297138,Bag
0.6495463,0.6462613,1.293202,Bag
0.6459416,0.6494637,1.301125,Bag
0.6475295,0.6469764,1.301222,Bag
0.6504357,0.6424887,1.295329,Bag
0.6531606,0.6421366,1.302763,Bag
0.6443453,0.64169,1.294819,Bag
0.6443303,0.6452484,1.29973,Bag
0.6458481,0.6447429,1.295097,Bag
0.6464667,0.641493,1.302721,Bag
0.6453876,0.648183,1.294405,Bag
0.646054,0.6440265,1.302348,Bag
0.6511254,0.6494968,1.294563,Bag
0.6530837,0.6432723,1.302379,Bag
0.651772,0.6435845,1.293459,Bag
0.650475,0.6476776,1.299577,Bag
0.6474928,0.6434582,1.300773,Bag
0.6491252,0.6430643,1.295067,Bag
0.6476431,0.642643,1.294187,Bag
0.6513865,0.640341,1.296948,Bag
0.6513348,0.6466928,1.296949,Bag
0.6473213,0.6406831,1.297768,Bag
0.6511377,0.6416338,1.296621,Bag
0.6456046,0.6448976,1.293297,Bag
0.6538795,0.642891,1.302835,Bag
0.6477058,0.6496018,1.29364,Bag
0.6505796,0.6455113,1.293745,Bag
0.6526855,0.6483659,1.298318,Bag
0.6457236,0.6407816,1.300123,Bag
0.6448991,0.645929,1.293159,Bag
0.6459514,0.6463452,1.294991,Bag
0.6532596,0.6422243,1.301391,Bag
0.6495878,0.6412315,1.294616,Bag
0.6471736,0.6422776,1.29721,Bag
0.6538514,0.6485827,1.300916,Bag
0.6447893,0.6470195,1.300063,Bag
0.6498666,0.6461611,1.300214,Bag
0.6490831,0.6461781,1.294125,Bag
0.6532679,0.6450863,1.294166,Bag
0.6508291,0.6425266,1.295859,Bag
0.6514455,0.6493271,1.298139,Bag
0.653464,0.6412147,1.294571,Bag
0.6515296,0.6404248,1.293803,Bag
0.6510864,0.6417752,1.298501,Bag
0.6478288,0.6474487,1.301002,Bag
0.6518689,0.6473486,1.298909,Bag
0.6455148,0.640528,1.29882,Bag
0.6455119,0.6431098,1.297824,Bag
0.6532919,0.6405296,1.298398,Bag
0.6530641,0.6416957,1.302186,Bag
0.6537797,0.6403112,1.299849,Bag
0.6532843,0.6470407,1.296869,Bag
0.6456395,0.6457397,1.300083,Bag
0.6501015,0.6436718,1.293772,Bag
0.6449078,0.6451175,1.30157,Bag
0.6477522,0.6438605,1.299537,Bag
0.6449198,0.6479983,1.298697,Bag
0.6521599,0.6403555,1.295158,Bag
0.6447763,0.6489943,1.30203,Bag
0.6530632,0.6419117,1.296414,Bag
0.6514205,0.6428384,1.297457,Bag
0.6473784,0.6454806,1.29987,Bag
0.6492618,0.6447434,1.302275,Bag
0.6506867,0.6416488,1.300757,Bag
0.6490939,0.6454181,1.301716,Bag
0.6520877,0.6471174,1.297721,Bag
0.6511505,0.6472976,1.29331,Bag
0.6455157,0.6414266,1.294434,Bag
0.6473768,0.6498066,1.29657,Bag
0.6447838,0.6468387,1.297623,Bag
0.6524815,0.6448314,1.294754,Bag
0.6532456,0.6409675,1.299878,Bag
0.6449763,0.6411175,1.300457,Bag
0.6461114,0.6432877,1.295821,Bag
0.646953,0.6418784,1.295484,Bag
0.652972,0.6417891,1.302331,Bag
0.6524122,0.6434861,1.298492,Bag
0.6509662,0.6456072,1.301434,Bag
0.644909,0.6497126,1.298999,Bag
0.6530715,0.6456477,1.297371,Bag
0.6520392,0.6407949,1.299094,Bag
0.6512935,0.6460197,1.300239,Bag
0.6533052,0.64557,1.302434,Bag
0.6465824,0.6459037,1.293042,Bag
0.6533199,0.6446514,1.294989,Bag
0.6484665,0.6468579,1.295483,Bag
0.6529832,0.6438711,1.302212,Bag
0.6458458,0.645812,1.297174,Bag
0.6492179,0.6456024,1.301686,Bag
0.6484491,0.6405258,1.297407,Bag
0.6472627,0.6446134,1.299223,Bag
0.6508751,0.648557,1.301054,Bag
0.6477479,0.6410839,1.300424,Bag
0.6456129,0.6412941,1.297176,Bag
0.6531367,0.649559,1.299014,Bag
0.6521683,0.6431072,1.297099,Bag
0.6511552,0.6466703,1.293976,Bag
0.6480336,0.6485217,1.29808,Bag
0.6491681,0.6457323,1.297448,Bag
0.6478623,0.6448178,1.30149,Bag
0.6441424,0.6482812,1.298331,Bag
0.6494144,0.6401076,1.301188,Bag
0.6441398,0.6409804,1.294993,Bag
0.6509923,0.6495627,1.300232,Bag
0.648434,0.640156,1.298039,Bag
0.6482375,0.6402324,1.298306,Bag
0.6501498,0.645337,1.301471,Bag
0.6509277,0.6418812,1.294645,Bag
0.6525078,0.6494334,1.293,Bag
0.6481581,0.6450287,1.299848,Bag
0.6491932,0.6488921,1.293883,Bag
0.6445436,0.6404385,1.294286,Bag
0.6449972,0.6497254,1.29582,Bag
0.6500397,0.647566,1.297917,Bag
0.6512641,0.6489376,1.296024,Bag
0.6487295,0.6462935,1.296198,Bag
0.6505852,0.6424324,1.2994,Bag
0.6475178,0.6473989,1.295152,Bag
0.6473733,0.6463321,1.292921,Bag
0.6490541,0.6413764,1.294422,Bag
0.6458349,0.6450062,1.302706,Bag
0.6469446,0.6464255,1.296586,Bag
0.6506982,0.6498739,1.295331,Bag
0.6486201,0.6482351,1.295806,Bag
0.6450291,0.6483505,1.299659,Bag
0.6481969,0.6428458,1.298979,Bag
0.6535891,0.6453556,1.298258,Bag
0.6488265,0.6453528,1.297471,Bag
0.6516873,0.6456348,1.295394,Bag
0.6530606,0.6422242,1.300456,Bag
0.6461115,0.6451027,1.295712,Bag
0.6443435,0.6443332,1.301912,Bag
0.6490292,0.6407363,1.296555,Bag
0.6507334,0.6469306,1.296938,Bag
0.6521347,0.6495708,1.293594,Bag
0.6462934,0.6493583,1.298673,Bag
0.6462052,0.6429192,1.299175,Bag
0.6443287,0.6444904,1.295286,Bag
0.6534805,0.6490694,1.299504,Bag
0.6456019,0.6471655,1.298266,Bag
0.6496522,0.641495,1.296108,Bag
0.6519237,0.6426933,1.293613,Bag
0.6490902,0.6468465,1.295726,Bag
0.6524437,0.6415257,1.294806,Bag
0.6450723,0.6434669,1.298692,Bag
0.6528076,0.6442937,1.295349,Bag
0.6516347,0.6499685,1.296776,Bag
0.6443159,0.6457201,1.293112,Bag
0.6489933,0.640403,1.297334,Bag
0.6510357,0.6486772,1.297453,Bag
0.6512758,0.646275,1.302436,Bag
0.6456677,0.6411684,1.300099,Bag
0.6528558,0.6497438,1.297915,Bag
0.6504905,0.6468509,1.296918,Bag
0.6501594,0.6492606,1.295741,Bag
0.6532737,0.6454713,1.294147,Bag
0.6492798,0.6417506,1.299586,Bag
0.6461003,0.6471109,1.299032,Bag
0.6529864,0.6452176,1.29713,Bag
0.6539619,0.6471285,1.294656,Bag
0.6495038,0.6406883,1.299631,Bag
0.6514859,0.6450359,1.293891,Bag
0.6528407,0.6487947,1.294325,Bag
0.6496477,0.646238,1.302194,Bag
0.6531526,0.6426424,1.298857,Bag
0.6452371,0.6499031,1.294817,Bag
0.6448607,0.6436333,1.300484,Bag
0.6453691,0.6403865,1.294724,Bag
0.6482077,0.6454005,1.301168,Bag
0.6528263,0.6432946,1.300068,Bag
0.6444155,0.6489112,1.295378,Bag
0.652753,0.6461108,1.294727,Bag
0.6446007,0.6420333,1.299882,Bag
0.6442253,0.6493676,1.297158,Bag
0.6440669,0.6421098,1.294515,Bag
0.6490055,0.6432256,1.295231,Bag
0.6464924,0.6415117,1.297508,Bag
0.6446024,0.6475027,1.298899,Bag
0.6500903,0.6407346,1.297227,Bag
0.646194,0.6420366,1.293503,Bag
0.6448434,0.6425019,1.295768,Bag
0.6499419,0.6434315,1.293854,Bag
0.6522503,0.6474493,1.298716,Bag
0.6443694,0.6423485,1.30033,Bag
0.6489732,0.6457585,1.300167,Bag
0.6513324,0.6477109,1.300472,Bag
0.6539889,0.6440094,1.298989,Bag
0.64655,0.6424982,1.302315,Bag
0.6506856,0.6468324,1.294823,Bag
0.6497416,0.6489636,1.300447,Bag
0.6474,0.6419829,1.302435,Bag
0.6523294,0.6430622,1.300489,Bag
0.6485025,0.6465514,1.301976,Bag
0.6505064,0.649838,1.300893,Bag
0.6467268,0.6412379,1.296575,Bag
0.6526046,0.6431392,1.299895,Bag
0.6474569,0.6435552,1.299001,Bag
0.6475919,0.6495771,1.296678,Bag
0.6458479,0.6422212,1.300958,Bag
0.6487094,0.6478166,1.298027,Bag
0.6472872,0.6463795,1.30224,Bag
0.6523218,0.6429917,1.295094,Bag
0.6511547,0.6408281,1.302749,Bag
0.6525801,0.6496788,1.296424,Bag
0.6496504,0.6491302,1.299463,Bag
0.6495959,0.6420552,1.29705,Bag
0.6525187,0.6431885,1.299391,Bag
0.645721,0.6412419,1.302079,Bag
0.6529133,0.6488646,1.301151,Bag
0.6453221,0.6478164,1.297955,Bag
0.6457719,0.64728,1.297513,Bag
0.6534622,0.6467988,1.298247,Bag
0.6481007,0.6406053,1.298115,Bag
0.6489205,0.6407431,1.300961,Bag
0.6443156,0.6474314,1.296904,Bag
0.6523495,0.6429695,1.295884,Bag
0.6505212,0.6500126,1.298681,Bag
0.6534971,0.6478581,1.300595,Bag
0.646644,0.6424814,1.297903,Bag
0.6515741,0.6434792,1.294442,Bag
0.648514,0.6476619,1.299067,Bag
0.6499227,0.6454623,1.300846,Bag
0.6540048,0.6401324,1.293583,Bag
0.6493973,0.6459146,1.301454,Bag
0.6491454,0.6475891,1.298887,Bag
0.6446823,0.6449878,1.295354,Bag
0.6516764,0.6474692,1.292982,Bag
0.6509617,0.6434496,1.294814,Bag
0.6461128,0.6453457,1.300624,Bag
0.6464972,0.6437498,1.293255,Bag
0.649401,0.6454562,1.296736,Bag
0.646798,0.6462828,1.302575,Bag
0.6521659,0.6461419,1.299374,Bag
0.6464144,0.6410798,1.300748,Bag
0.6500255,0.6487714,1.297937,Bag
0.652015,0.6456379,1.298875,Bag
0.6489075,0.6492998,1.298573,Bag
0.6505679,0.6456891,1.299688,Bag
0.6499334,0.6446506,1.295638,Bag
0.6484442,0.6483489,1.294352,Bag
0.6482274,0.6436819,1.295395,Bag
0.6470096,0.6422583,1.297924,Bag
0.6459635,0.6480451,1.293467,Bag
0.6476058,0.6409406,1.294034,Bag
0.6525277,0.6402687,1.293979,Bag
0.6535042,0.647782,1.293068,Bag
0.6461282,0.6454023,1.301298,Bag
0.6485738,0.6486435,1.301673,Bag
0.6530371,0.6413965,1.293322,Bag
0.962415,0.6418221,1.295882,Bag
0.9615386,0.957354,1.298784,Bag
0.9685636,0.956641,1.298124,Bag
0.9598208,0.9652196,1.293158,Bag
0.9615923,0.9565991,1.299912,Bag
0.9631439,0.9647635,1.298784,Bag
0.9603129,0.9603242,1.293467,Bag
0.9612966,0.9597856,1.299688,Bag
0.9662383,0.963421,1.302575,Bag
0.9638609,0.961553,1.293255,Bag
0.9681043,0.9622862,1.293322,Bag
0.9616383,0.9570785,1.294814,Bag
0.9675052,0.9634355,1.299374,Bag
0.9593357,0.9578954,1.294034,Bag
