RMs,LMs,UMs,Class
1.97259,1.96704,1.789853,Boot
1.981917,1.960259,1.786825,Boot
1.958865,1.942293,1.730466,Boot
1.955991,1.941165,1.736734,Boot
1.942154,1.936573,1.738878,Boot
1.949888,1.9369,1.732251,Boot
1.9455,1.937482,1.705891,Boot
1.93923,1.932651,1.702167,Boot
1.943852,1.927326,1.693228,Boot
1.937199,1.935857,1.693776,Boot
1.937529,1.92854,1.693796,Boot
1.939219,1.92517,1.689021,Boot
1.933657,1.92768,1.68828,Boot
1.935927,1.934469,1.688162,Boot
1.940288,1.926851,1.686871,Boot
1.934994,1.927438,1.69245,Boot
1.939835,1.934355,1.691325,Boot
1.931002,1.932426,1.689395,Boot
1.930822,1.932021,1.686586,Boot
1.930503,1.925268,1.688343,Boot
1.917888,1.907709,1.691685,Boot
1.921598,1.912721,1.692494,Boot
1.915708,1.901781,1.692011,Boot
1.920921,1.903912,1.684178,Boot
1.918547,1.899528,1.689627,Boot
1.919308,1.896231,1.690105,Boot
1.920994,1.893991,1.685806,Boot
1.919649,1.900394,1.68385,Boot
1.917649,1.886323,1.686256,Boot
1.915444,1.881442,1.679226,Boot
1.920953,1.87872,1.675121,Boot
1.919852,1.877846,1.679316,Boot
1.924172,1.880599,1.674292,Boot
1.924487,1.878318,1.686089,Boot
1.927134,1.866263,1.674782,Boot
1.932217,1.864618,1.680901,Boot
1.927635,1.844476,1.686313,Boot
1.926414,1.850765,1.673102,Boot
1.923708,1.843373,1.677139,Boot
1.9258,1.844289,1.678491,Boot
1.900633,1.840931,1.678422,Boot
1.904979,1.836983,1.677109,Boot
1.906141,1.836357,1.674003,Boot
1.901722,1.841348,1.673653,Boot
1.88902,1.821618,1.663454,Boot
1.886515,1.826247,1.669364,Boot
1.886884,1.823223,1.659151,Boot
1.884375,1.827139,1.665317,Boot
1.875282,1.81535,1.655849,Boot
1.879756,1.819966,1.658421,Boot
1.890308,1.822465,1.654713,Boot
1.884662,1.822414,1.653947,Boot
1.878552,1.81592,1.646464,Boot
1.884321,1.82194,1.649861,Boot
1.87446,1.811082,1.632953,Boot
1.876076,1.816729,1.640128,Boot
1.864581,1.802143,1.598153,Boot
1.86835,1.810971,1.597121,Boot
1.861551,1.807628,1.608233,Boot
1.857449,1.807421,1.609846,Boot
1.854097,1.801239,1.589646,Boot
1.850251,1.806969,1.585178,Boot
1.845821,1.796358,1.580099,Boot
1.848971,1.803391,1.581777,Boot
1.841997,1.803621,1.525279,Boot
1.841147,1.805009,1.529699,Boot
1.842912,1.79525,1.540094,Boot
1.837832,1.800648,1.540811,Boot
1.834415,1.795772,1.529612,Boot
1.831222,1.792206,1.534108,Boot
1.833726,1.799852,1.513348,Boot
1.825402,1.792839,1.515431,Boot
1.827513,1.79738,1.59604,Boot
1.828514,1.791013,1.596068,Boot
1.821793,1.790844,1.562831,Boot
1.827485,1.788664,1.565077,Boot
1.820575,1.792883,1.560921,Boot
1.825242,1.789437,1.560641,Boot
1.81726,1.791065,1.539362,Boot
1.817116,1.786093,1.530565,Boot
1.820433,1.792497,1.524525,Boot
1.815973,1.786955,1.517952,Boot
1.812827,1.782536,1.582807,Boot
1.812738,1.788039,1.587897,Boot
1.811354,1.778328,1.503062,Boot
1.815191,1.775991,1.597293,Boot
1.81373,1.77825,1.56452,Boot
1.820295,1.769475,1.566779,Boot
1.812957,1.7725,1.568553,Boot
1.810816,1.773972,1.568405,Boot
1.818067,1.774815,1.579924,Boot
1.816094,1.768445,1.584677,Boot
1.817491,1.766744,1.538161,Boot
1.817678,1.771672,1.531715,Boot
1.817405,1.768505,1.573683,Boot
1.817226,1.766404,1.578268,Boot
1.817049,1.768326,1.572778,Boot
1.81349,1.772633,1.57171,Boot
1.816236,1.769657,1.523409,Boot
1.818182,1.77742,1.519158,Boot
1.814028,1.772229,1.569086,Boot
1.821885,1.772775,1.575497,Boot
1.822144,1.778056,1.550798,Boot
1.817271,1.777278,1.547119,Boot
1.823596,1.778744,1.527372,Boot
1.820241,1.77607,1.62486,Boot
1.835847,1.781762,1.646089,Boot
1.828996,1.774887,1.651683,Boot
1.836329,1.776104,1.683875,Boot
1.829818,1.781396,1.58835,Boot
1.838184,1.784135,1.551685,Boot
1.833154,1.783263,1.559042,Boot
1.834798,1.778283,1.576656,Boot
1.835137,1.776641,1.576454,Boot
1.835694,1.785007,1.631642,Boot
1.838087,1.78081,1.626474,Boot
1.84432,1.780844,1.63945,Boot
1.839785,1.778995,1.647016,Boot
1.840949,1.781711,1.660851,Boot
1.84333,1.773636,1.655676,Boot
1.846409,1.779405,1.667772,Boot
1.840409,1.776887,1.774191,Boot
1.841688,1.773167,1.782168,Boot
1.84532,1.78133,1.78036,Boot
1.855227,1.780784,1.791314,Boot
1.859158,1.784131,1.791035,Boot
1.860664,1.781817,1.723013,Boot
1.863495,1.788812,1.715387,Boot
1.870981,1.793998,1.713644,Boot
1.868594,1.787589,1.715701,Boot
1.882816,1.795605,1.712328,Boot
1.881685,1.791353,1.717795,Boot
1.887898,1.795442,1.790761,Boot
1.886162,1.798815,1.782715,Boot
1.888596,1.80175,1.676352,Boot
1.891225,1.806309,1.672531,Boot
1.894811,1.80973,1.65821,Boot
1.900581,1.802723,1.655785,Boot
1.9173,1.819937,1.522974,Boot
1.908599,1.82167,1.52833,Boot
1.918731,1.82064,1.509349,Boot
1.919224,1.825359,1.508988,Boot
1.938418,1.835953,1.56171,Boot
1.937544,1.832039,1.558199,Boot
1.956163,1.856697,1.592793,Boot
1.959072,1.850785,1.589998,Boot
1.979258,1.887613,1.594679,Boot
1.983695,1.880876,1.599544,Boot
