RMs,LMs,UMs,Class
1.963534,1.959785,1.876223,Bottle
1.964605,1.965959,1.873775,Bottle
1.966394,1.960274,1.873847,Bottle
1.959667,1.965113,1.881188,Bottle
1.967294,1.965796,1.874703,Bottle
1.960292,1.967656,1.879602,Bottle
1.964752,1.962112,1.878276,Bottle
1.969664,1.965033,1.876343,Bottle
1.954561,1.954163,1.87229,Bottle
1.947495,1.95492,1.873272,Bottle
1.934473,1.930209,1.852904,Bottle
1.93084,1.927857,1.853271,Bottle
1.916208,1.923791,1.83572,Bottle
1.9182,1.918008,1.83586,Bottle
1.914125,1.920949,1.840612,Bottle
1.922408,1.917718,1.837904,Bottle
1.920366,1.91592,1.844334,Bottle
1.91857,1.923895,1.841268,Bottle
1.913961,1.914947,1.840092,Bottle
1.915997,1.922132,1.842915,Bottle
1.918823,1.921732,1.844389,Bottle
1.917755,1.919874,1.839635,Bottle
1.919912,1.919045,1.84358,Bottle
1.917522,1.92041,1.843819,Bottle
1.921857,1.917596,1.839818,Bottle
1.914378,1.915382,1.842958,Bottle
1.914998,1.918337,1.838094,Bottle
1.916644,1.920395,1.843004,Bottle
1.919847,1.92597,1.846382,Bottle
1.927487,1.924174,1.839233,Bottle
1.927605,1.925152,1.842948,Bottle
1.92139,1.928271,1.847756,Bottle
1.924145,1.927631,1.848617,Bottle
1.928228,1.930645,1.848502,Bottle
1.928648,1.929427,1.846154,Bottle
1.930266,1.924576,1.842808,Bottle
1.932734,1.924118,1.842779,Bottle
1.930337,1.923785,1.846982,Bottle
1.932689,1.928323,1.849964,Bottle
1.925559,1.928264,1.847815,Bottle
1.927622,1.930822,1.851923,Bottle
1.931735,1.929632,1.849338,Bottle
1.929842,1.929273,1.851112,Bottle
1.924916,1.929142,1.852466,Bottle
1.918556,1.916556,1.840944,Bottle
1.917338,1.919133,1.843866,Bottle
1.915267,1.922604,1.844315,Bottle
1.923659,1.917784,1.83839,Bottle
1.923719,1.915551,1.840596,Bottle
1.917789,1.919485,1.844223,Bottle
1.917369,1.921892,1.835372,Bottle
1.918775,1.917131,1.843204,Bottle
1.914201,1.918809,1.84196,Bottle
1.914854,1.91712,1.843701,Bottle
1.918436,1.916834,1.835457,Bottle
1.91974,1.922866,1.836618,Bottle
1.919845,1.919024,1.844605,Bottle
1.919384,1.920652,1.836796,Bottle
1.92285,1.923762,1.835959,Bottle
1.923685,1.916325,1.834866,Bottle
1.922137,1.922442,1.839596,Bottle
1.921606,1.916861,1.836427,Bottle
1.92671,1.930214,1.841968,Bottle
1.930067,1.924136,1.848481,Bottle
