RMs,LMs,UMs,Class
1.949803,1.948984,1.936067,Grenade
1.946022,1.946512,1.926548,Grenade
1.91918,1.919258,1.898128,Grenade
1.926751,1.922977,1.893976,Grenade
1.90088,1.903345,1.877204,Grenade
1.909496,1.904435,1.881514,Grenade
1.894859,1.887422,1.871912,Grenade
1.888936,1.890736,1.878995,Grenade
1.878364,1.882226,1.863455,Grenade
1.877424,1.883734,1.860238,Grenade
1.874442,1.872769,1.849586,Grenade
1.878408,1.869477,1.854212,Grenade
1.870752,1.864861,1.701182,Grenade
1.869941,1.872103,1.695228,Grenade
1.862547,1.862212,1.684717,Grenade
1.8598,1.866863,1.679954,Grenade
1.861392,1.861028,1.678302,Grenade
1.858418,1.860788,1.687084,Grenade
1.86093,1.866612,1.68425,Grenade
1.862884,1.86494,1.685039,Grenade
1.86908,1.864827,1.691638,Grenade
1.864514,1.871079,1.684569,Grenade
1.869281,1.872657,1.848435,Grenade
1.875074,1.876751,1.853619,Grenade
1.875646,1.880258,1.865992,Grenade
1.876735,1.877685,1.863871,Grenade
1.887965,1.880519,1.870949,Grenade
1.885276,1.886904,1.86591,Grenade
1.90432,1.902241,1.875482,Grenade
1.904286,1.905093,1.876987,Grenade
1.920429,1.928296,1.899934,Grenade
1.925392,1.923411,1.895228,Grenade
1.943945,1.942898,1.918062,Grenade
1.943683,1.945676,1.919388,Grenade
