RMs,LMs,UMs,Class
1.93041,2.000982,1.978449,Knife
1.931141,2.006426,1.981372,Knife
1.925424,1.992059,1.979389,Knife
1.92651,1.993339,1.980853,Knife
1.912976,1.989578,1.97861,Knife
1.911253,1.988236,1.974803,Knife
1.915609,1.978472,1.97962,Knife
1.918402,1.976809,1.97687,Knife
1.932998,1.980541,1.972542,Knife
1.927487,1.973271,1.97466,Knife
1.937388,1.972853,1.978699,Knife
1.936354,1.971552,1.970453,Knife
1.948342,1.966449,1.972828,Knife
1.946333,1.974248,1.973244,Knife
1.955537,1.962123,1.977565,Knife
1.955894,1.968108,1.976414,Knife
1.956411,1.960998,1.976332,Knife
1.954994,1.957066,1.972924,Knife
1.960223,1.954299,1.973688,Knife
1.958097,1.962458,1.97312,Knife
1.965167,1.956576,1.977665,Knife
1.965574,1.958914,1.978372,Knife
1.963191,1.956531,1.969476,Knife
1.963964,1.958391,1.974353,Knife
1.96638,1.958699,1.977501,Knife
1.96587,1.951912,1.975632,Knife
1.964097,1.953036,1.976172,Knife
1.964317,1.951106,1.972512,Knife
1.9693,1.949186,1.978074,Knife
1.96317,1.951821,1.970324,Knife
1.969627,1.952472,1.969006,Knife
1.97479,1.946097,1.971728,Knife
1.974626,1.948425,1.972343,Knife
1.977029,1.952029,1.977466,Knife
1.974231,1.949571,1.976853,Knife
1.967757,1.949382,1.977978,Knife
1.958473,1.941662,1.97,Knife
1.963096,1.93967,1.975148,Knife
1.949281,1.939779,1.969588,Knife
1.941162,1.93642,1.977028,Knife
1.95439,1.935404,1.969352,Knife
1.956629,1.93898,1.978162,Knife
1.972614,1.932336,1.97546,Knife
1.967094,1.940812,1.979824,Knife
1.968206,1.932122,1.978414,Knife
1.974074,1.936613,1.979329,Knife
1.974106,1.928002,1.992462,Knife
1.973324,1.932034,1.990311,Knife
1.970648,1.932633,1.995686,Knife
1.966023,1.932644,1.993825,Knife
1.972926,1.932405,1.994584,Knife
1.974875,1.937977,1.991679,Knife
1.975799,1.937716,1.999407,Knife
1.970509,1.932643,1.997164,Knife
1.971414,1.935533,1.998749,Knife
1.976664,1.939228,2.000857,Knife
1.975469,1.936476,2.000932,Knife
1.968325,1.939562,2.000126,Knife
1.969017,1.929734,1.9982,Knife
1.972129,1.930029,2.000383,Knife
1.975855,1.929412,1.992788,Knife
1.973555,1.933068,1.992081,Knife
1.976855,1.931494,1.991983,Knife
1.971361,1.927634,1.997725,Knife
1.975523,1.92502,2.000668,Knife
1.97094,1.925101,1.996097,Knife
1.971398,1.913433,1.998956,Knife
1.970038,1.918216,1.996225,Knife
1.961156,1.910156,1.994467,Knife
1.962735,1.908096,1.997769,Knife
1.939403,1.917668,1.992038,Knife
1.940187,1.913336,1.993531,Knife
1.945216,1.910104,1.989701,Knife
1.946353,1.916129,1.997075,Knife
1.949395,1.912988,1.990907,Knife
1.941551,1.912485,1.997,Knife
1.949179,1.906285,1.992414,Knife
1.943359,1.913193,1.998746,Knife
1.953903,1.909668,1.994726,Knife
1.954799,1.909254,1.991669,Knife
1.954553,1.91433,1.991233,Knife
1.958994,1.912047,1.998881,Knife
1.965003,1.914533,1.991253,Knife
1.961576,1.916975,1.994754,Knife
1.967822,1.919197,1.995769,Knife
1.966795,1.91747,1.994727,Knife
1.976598,1.917411,2.002621,Knife
1.981761,1.913518,1.996823,Knife
1.981058,1.916373,2.5,Knife
1.980779,1.91324,2.5,Knife
2.004746,1.905667,2.5,Knife
2.005472,1.906059,2.5,Knife
2.020018,1.912499,2.5,Knife
2.020127,1.907461,2.5,Knife
2.030343,1.903946,2.5,Knife
2.035746,1.909443,2.5,Knife
2.063662,1.910031,2.5,Knife
2.059733,1.90978,2.5,Knife
