RMs,LMs,UMs,Class
1.633933,1.630334,1.983139,Laptop
1.63174,1.62932,1.984728,Laptop
1.602008,1.598501,1.983891,Laptop
1.600799,1.601455,1.991179,Laptop
1.59055,1.58622,1.990557,Laptop
1.587409,1.58673,1.989897,Laptop
1.584297,1.580693,1.982399,Laptop
1.581986,1.582556,1.982277,Laptop
1.583999,1.583069,1.981834,Laptop
1.577429,1.583443,1.98979,Laptop
1.58075,1.581866,1.987706,Laptop
1.583452,1.578603,1.987447,Laptop
1.583135,1.581342,1.984432,Laptop
1.577167,1.575091,1.982261,Laptop
1.578549,1.579119,1.979531,Laptop
1.575501,1.576141,1.986903,Laptop
1.576167,1.577161,1.981712,Laptop
1.575681,1.577356,1.979194,Laptop
1.574979,1.584912,1.985221,Laptop
1.575958,1.580576,1.988037,Laptop
1.575539,1.575665,1.979566,Laptop
1.577128,1.57777,1.986747,Laptop
1.578091,1.577106,1.986521,Laptop
1.57548,1.58066,1.980424,Laptop
1.583404,1.576901,1.98145,Laptop
1.577266,1.582855,1.981423,Laptop
1.584177,1.57564,1.987077,Laptop
1.576265,1.575314,1.979722,Laptop
1.580442,1.576915,1.983128,Laptop
1.578712,1.582961,1.986349,Laptop
1.581865,1.577822,1.982999,Laptop
1.575195,1.578168,1.981171,Laptop
1.579056,1.583054,1.983267,Laptop
1.582646,1.583031,1.97929,Laptop
1.577102,1.582028,1.98695,Laptop
1.582341,1.583663,1.979138,Laptop
1.582069,1.583279,1.986458,Laptop
1.583103,1.58461,1.985716,Laptop
1.575854,1.577519,1.979861,Laptop
1.583375,1.575889,1.981668,Laptop
1.584349,1.583077,1.981959,Laptop
1.580119,1.584234,1.987238,Laptop
1.583165,1.580746,1.982955,Laptop
1.582055,1.583466,1.98363,Laptop
1.576542,1.583582,1.983205,Laptop
1.579814,1.577579,1.982535,Laptop
1.582515,1.581408,1.985791,Laptop
1.57812,1.57602,1.979093,Laptop
1.583564,1.580476,1.988269,Laptop
1.581192,1.578986,1.987842,Laptop
1.578333,1.583475,1.986399,Laptop
1.583583,1.583712,1.988627,Laptop
1.577187,1.575923,1.984714,Laptop
1.581227,1.579518,1.983127,Laptop
1.579308,1.583786,1.983389,Laptop
1.581016,1.578377,1.98325,Laptop
1.57545,1.578025,1.987553,Laptop
1.584491,1.578515,1.983505,Laptop
1.576967,1.581424,1.986124,Laptop
1.576266,1.578984,1.987414,Laptop
1.579758,1.583056,1.98634,Laptop
1.575812,1.579822,1.982876,Laptop
1.579399,1.575322,1.979515,Laptop
1.581061,1.583038,1.979075,Laptop
1.583106,1.579327,1.984128,Laptop
1.583527,1.582345,1.986852,Laptop
1.578411,1.577036,1.982842,Laptop
1.575586,1.576804,1.985114,Laptop
1.57723,1.582585,1.981915,Laptop
1.584639,1.580817,1.984066,Laptop
1.584039,1.584377,1.979708,Laptop
1.574969,1.584797,1.979954,Laptop
1.575887,1.578903,1.980296,Laptop
1.578542,1.58302,1.979796,Laptop
1.583929,1.580997,1.980356,Laptop
1.581478,1.583953,1.986609,Laptop
1.58013,1.581667,1.987268,Laptop
1.576751,1.582282,1.981184,Laptop
1.584295,1.575385,1.980161,Laptop
1.581228,1.582983,1.979098,Laptop
1.578794,1.578242,1.979529,Laptop
1.581424,1.584725,1.981621,Laptop
1.576408,1.57565,1.983856,Laptop
1.583976,1.574962,1.981797,Laptop
1.5789,1.583445,1.980542,Laptop
1.58062,1.57615,1.988033,Laptop
1.575227,1.576763,1.988761,Laptop
1.575386,1.583264,1.980875,Laptop
1.578192,1.581663,1.987664,Laptop
1.575367,1.578864,1.986071,Laptop
1.577464,1.584567,1.98152,Laptop
1.578129,1.576908,1.980881,Laptop
1.580542,1.583558,1.981602,Laptop
1.578704,1.575825,1.984016,Laptop
1.579567,1.57508,1.981913,Laptop
