RMs,LMs,UMs,Class
2.122086,1.824307,1.968217,M4
2.123773,1.829235,1.968648,M4
2.118992,1.831732,1.963371,M4
2.12273,1.823402,1.962428,M4
2.123877,1.832849,1.969815,M4
2.122861,1.831968,1.965407,M4
2.121736,1.832542,1.967842,M4
2.125599,1.830335,1.96624,M4
2.123573,1.824991,1.964807,M4
2.123104,1.826996,1.969622,M4
2.124342,1.829893,1.969635,M4
2.121626,1.834938,1.965663,M4
2.124343,1.834032,1.966024,M4
2.12847,1.834076,1.962554,M4
2.115983,1.826182,1.970893,M4
2.11748,1.825311,1.96203,M4
2.124765,1.834285,1.962734,M4
2.12349,1.832113,1.970115,M4
2.121379,1.831999,1.964501,M4
2.127016,1.836815,1.962578,M4
2.12128,1.832766,1.971478,M4
2.123442,1.831231,1.963665,M4
2.12253,1.833657,1.966434,M4
2.12494,1.832076,1.961825,M4
2.120519,1.832458,1.969846,M4
2.125577,1.83252,1.963729,M4
2.121188,1.830269,1.961301,M4
2.119287,1.831928,1.967974,M4
2.117842,1.830723,1.964359,M4
2.123713,1.824981,1.962079,M4
2.123947,1.8248,1.962565,M4
2.117774,1.827887,1.965826,M4
2.125944,1.829909,1.963482,M4
2.125635,1.825396,1.960957,M4
2.116862,1.828369,1.96803,M4
2.126452,1.830607,1.967721,M4
2.126837,1.83455,1.97261,M4
2.126546,1.833442,1.965283,M4
2.129047,1.835034,1.991043,M4
2.121185,1.837381,1.984896,M4
2.125779,1.838042,1.991269,M4
2.127464,1.827423,1.993214,M4
2.127321,1.83258,1.989283,M4
2.128365,1.827567,1.986144,M4
2.120813,1.83067,1.991404,M4
2.124967,1.780116,1.988983,M4
2.11029,1.776829,1.992984,M4
2.111637,1.782333,1.984462,M4
2.112388,1.777558,1.98914,M4
2.11589,1.7789,1.990968,M4
2.113693,1.777246,1.984734,M4
2.11264,1.784688,1.986134,M4
2.085387,1.790474,1.984869,M4
2.081536,1.793107,1.9877,M4
2.082225,1.787933,1.985593,M4
2.085019,1.800076,1.991148,M4
2.08336,1.793561,1.956679,M4
2.087693,1.797623,1.948274,M4
2.085302,1.799041,2.5,M4
2.084767,1.791312,2.5,M4
2.079447,1.793072,2.5,M4
2.077936,1.793384,2.5,M4
2.086192,1.789588,2.5,M4
2.081028,1.792371,2.5,M4
2.081784,1.79171,2.5,M4
2.077815,1.793183,2.5,M4
2.088236,1.796275,2.5,M4
2.087795,1.788939,2.5,M4
2.085321,1.784608,2.5,M4
2.084588,1.796799,2.5,M4
2.089391,1.798781,2.5,M4
2.089762,1.789294,2.5,M4
2.082993,1.789424,2.5,M4
2.076551,1.793849,2.5,M4
2.088621,1.793159,2.5,M4
2.084857,1.793613,2.5,M4
2.085646,1.785593,2.5,M4
2.078008,1.784682,2.5,M4
2.080975,1.790838,2.5,M4
2.080734,1.800135,2.5,M4
2.085108,1.797441,2.5,M4
2.08684,1.786058,2.5,M4
2.08317,1.786091,2.5,M4
2.081484,1.798987,2.5,M4
2.08458,1.791735,2.5,M4
2.084783,1.787953,2.5,M4
2.080435,1.78496,2.5,M4
2.079907,1.795865,2.5,M4
2.086526,1.793446,2.5,M4
2.091779,1.794198,2.5,M4
2.084718,1.789909,2.5,M4
2.077634,1.792989,2.5,M4
2.091462,1.796188,2.5,M4
2.086493,1.790261,2.5,M4
2.080798,1.789084,2.5,M4
2.084764,1.793332,2.5,M4
2.08141,1.784521,2.5,M4
2.082046,1.790955,2.5,M4
2.086608,1.794529,2.5,M4
2.089736,1.786207,2.5,M4
2.081539,1.789365,2.5,M4
2.081503,1.800308,2.5,M4
2.091594,1.794386,2.5,M4
2.084839,1.786942,2.5,M4
2.081824,1.785301,2.5,M4
2.082819,1.784806,2.5,M4
2.086241,1.788529,2.5,M4
2.080338,1.800581,2.5,M4
2.08736,1.800382,2.5,M4
2.092575,1.79724,2.5,M4
2.089255,1.797293,2.5,M4
2.086696,1.791944,2.5,M4
1.742345,1.793111,2.5,M4
1.739329,1.789244,2.5,M4
1.739861,1.793669,2.5,M4
1.741829,1.784906,2.5,M4
1.728932,1.788695,2.5,M4
1.736595,1.800145,2.5,M4
1.727901,1.798826,2.5,M4
1.728984,1.786921,2.5,M4
1.719508,1.793471,2.5,M4
1.727545,1.795145,2.5,M4
1.717733,1.795044,2.5,M4
1.721449,1.790981,2.5,M4
1.712183,1.785002,2.5,M4
1.712621,1.792706,2.5,M4
1.710765,1.78443,2.5,M4
1.70598,1.798745,2.5,M4
1.704365,1.795932,2.5,M4
1.70304,1.786676,2.5,M4
1.694263,1.794106,2.5,M4
1.693742,1.792835,2.5,M4
1.712486,1.797577,2.5,M4
1.714262,1.787623,2.5,M4
1.755505,1.792985,2.5,M4
1.755306,1.801411,2.5,M4
1.795816,1.799905,2.5,M4
1.798381,1.794125,2.5,M4
1.857139,1.794545,2.5,M4
1.86173,1.802207,2.5,M4
1.915751,1.801518,2.5,M4
1.914193,1.79656,2.5,M4
1.952391,1.795138,2.5,M4
1.954157,1.788078,2.5,M4
1.952769,1.791589,2.5,M4
1.954246,1.799576,2.5,M4
1.957524,1.79295,2.5,M4
1.954851,1.784478,2.5,M4
1.959558,1.789502,2.5,M4
1.958148,1.798804,2.5,M4
1.95437,1.795579,2.5,M4
1.957347,1.801092,2.5,M4
1.958639,1.798523,2.5,M4
1.952089,1.784739,2.5,M4
1.954994,1.784773,2.5,M4
1.953801,1.798274,2.5,M4
1.953944,1.796175,2.5,M4
1.960317,1.786139,2.5,M4
1.945385,1.784807,2.5,M4
1.947606,1.794153,2.5,M4
1.936803,1.794284,2.5,M4
1.939354,1.799379,2.5,M4
1.92135,1.795494,2.5,M4
1.929542,1.790725,2.5,M4
1.897168,1.7861,2.5,M4
1.896589,1.79187,2.5,M4
1.879397,1.795021,2.5,M4
1.876177,1.792304,2.5,M4
1.851203,1.799415,2.5,M4
1.860679,1.813289,2.5,M4
1.830757,1.815504,2.5,M4
1.824543,1.811116,2.5,M4
1.796979,1.809602,2.5,M4
1.800792,1.81149,2.5,M4
1.805492,1.812425,2.5,M4
1.800568,1.81403,2.5,M4
1.810287,1.812535,2.5,M4
1.803571,1.812531,2.5,M4
1.810768,1.815228,2.5,M4
1.810982,1.820664,2.5,M4
1.820472,1.817561,2.5,M4
1.815201,1.8207,2.5,M4
1.820026,1.816837,2.5,M4
1.825715,1.82132,2.5,M4
1.829465,1.824025,2.5,M4
1.831623,1.827883,2.5,M4
1.838524,1.821301,2.5,M4
1.835062,1.823649,2.5,M4
2.119402,1.823755,2.5,M4
2.11569,1.822023,2.5,M4
2.111605,1.825344,2.5,M4
2.111474,1.822515,2.5,M4
2.120247,1.82445,2.5,M4
2.11551,1.824788,2.5,M4
2.114845,1.821411,2.5,M4
2.118742,1.826741,2.5,M4
2.111988,1.825724,2.5,M4
2.113401,1.821144,2.5,M4
2.112246,1.827011,2.5,M4
2.120384,1.822433,2.5,M4
2.111251,1.828516,2.5,M4
2.11866,1.823717,2.5,M4
2.113315,1.821965,2.5,M4
2.120527,1.815016,2.5,M4
2.089793,1.819442,2.5,M4
2.093439,1.821005,2.5,M4
2.071853,1.817168,2.5,M4
2.074699,1.821574,2.5,M4
2.03919,1.820797,2.5,M4
2.038986,1.823337,2.5,M4
2.04102,1.81721,2.5,M4
2.040089,1.819534,2.5,M4
2.006122,1.818737,2.5,M4
2.010116,1.818639,2.5,M4
2.010193,1.818625,2.5,M4
2.009275,1.816282,2.5,M4
2.039595,1.816875,2.5,M4
2.043918,1.821249,2.5,M4
2.045354,1.816122,2.5,M4
2.045678,1.819443,2.5,M4
2.033596,1.819157,2.5,M4
2.038256,1.818599,2.5,M4
2.02503,1.820526,2.5,M4
2.027844,1.823937,2.5,M4
2.022897,1.820175,2.5,M4
2.023247,1.817915,2.5,M4
2.002364,1.815654,2.5,M4
2.007442,1.823882,2.5,M4
1.99758,1.821721,2.5,M4
1.990436,1.823861,2.5,M4
2.004582,1.824462,2.5,M4
2.009492,1.8175,2.5,M4
2.003546,1.818251,2.5,M4
1.995432,1.817512,2.5,M4
1.981517,1.82182,2.5,M4
1.977619,1.822137,2.5,M4
1.975613,1.820379,2.5,M4
1.975282,1.820234,2.5,M4
1.968415,1.815797,2.5,M4
1.966293,1.817024,2.5,M4
1.952487,1.821115,2.5,M4
1.958351,1.818825,2.5,M4
1.948091,1.817275,2.5,M4
1.951307,1.819739,2.5,M4
1.948043,1.817521,2.5,M4
1.945682,1.824725,2.5,M4
1.931786,1.817229,2.5,M4
1.927297,1.81541,2.5,M4
1.925376,1.824142,2.5,M4
1.927727,1.820798,2.5,M4
1.91849,1.81506,2.5,M4
1.913001,1.823065,2.5,M4
1.99406,1.816976,2.5,M4
