RMs,LMs,UMs,Class
1.888461,1.892743,1.983908,Phone
1.896407,1.89016,1.979828,Phone
1.884935,1.881445,1.983097,Phone
1.883165,1.882864,1.980641,Phone
1.87725,1.885533,1.982514,Phone
1.884384,1.88025,1.98612,Phone
1.884921,1.879366,1.988698,Phone
1.877976,1.883204,1.985281,Phone
1.886058,1.877968,1.980637,Phone
1.883848,1.880736,1.983769,Phone
1.886012,1.881743,1.983727,Phone
1.878188,1.886954,1.977983,Phone
1.884054,1.88127,1.978497,Phone
1.877735,1.883661,1.978522,Phone
1.885538,1.880052,1.986391,Phone
1.880376,1.884884,1.985062,Phone
1.882258,1.881296,1.985862,Phone
1.879522,1.883144,1.977624,Phone
1.878144,1.87913,1.986989,Phone
1.884914,1.88227,1.978686,Phone
1.878673,1.87782,1.983525,Phone
1.883515,1.882146,1.978349,Phone
1.883621,1.884492,1.979731,Phone
1.878839,1.879543,1.979877,Phone
1.878376,1.886506,1.98355,Phone
1.885956,1.880315,1.980862,Phone
1.881681,1.883361,1.979785,Phone
1.881499,1.884549,1.98535,Phone
1.87738,1.886658,1.980768,Phone
1.884081,1.882156,1.98474,Phone
1.884544,1.885798,1.977866,Phone
1.882348,1.880383,1.982023,Phone
1.881936,1.881793,1.983774,Phone
1.884539,1.881097,1.977768,Phone
1.885176,1.88633,1.985801,Phone
1.883708,1.882245,1.984553,Phone
1.87852,1.883042,1.980173,Phone
1.882406,1.879727,1.982052,Phone
1.886105,1.884591,1.982415,Phone
1.8786,1.879414,1.982658,Phone
1.877267,1.877884,1.981761,Phone
1.879526,1.882438,1.980629,Phone
1.880133,1.881809,1.977403,Phone
1.883946,1.882326,1.986808,Phone
1.884355,1.87858,1.980591,Phone
1.879681,1.881868,1.981521,Phone
1.885431,1.878109,1.985992,Phone
1.877586,1.884369,1.98248,Phone
1.884076,1.885331,1.983068,Phone
1.88689,1.877467,1.984925,Phone
1.885287,1.883409,1.981906,Phone
1.87919,1.884014,1.979273,Phone
1.879775,1.884698,1.98038,Phone
1.878292,1.879182,1.983148,Phone
1.880442,1.87923,1.980322,Phone
1.885998,1.877597,1.979999,Phone
1.883457,1.883965,1.980044,Phone
1.877418,1.877614,1.982099,Phone
1.880656,1.879046,1.978164,Phone
1.878634,1.8838,1.985295,Phone
1.887212,1.893725,1.984803,Phone
1.894092,1.893169,1.983655,Phone
