RMs,LMs,UMs,Class
2.073717,1.866831,1.970466,Pistol
2.072084,1.864515,1.966336,Pistol
2.06881,1.865032,1.964882,Pistol
2.066201,1.869979,1.972893,Pistol
2.071512,1.868707,1.965683,Pistol
2.073525,1.871696,1.96458,Pistol
2.073308,1.8701,1.963993,Pistol
2.072735,1.870022,1.96417,Pistol
2.073851,1.866599,1.969687,Pistol
2.065905,1.874218,1.97043,Pistol
2.07247,1.864536,1.972676,Pistol
2.067562,1.864482,1.972906,Pistol
2.066323,1.867325,1.96956,Pistol
2.067061,1.86933,1.972219,Pistol
2.074869,1.867746,1.970717,Pistol
2.069117,1.864751,1.968714,Pistol
2.067699,1.866863,1.964157,Pistol
2.072673,1.872807,1.971763,Pistol
2.068225,1.870112,1.971395,Pistol
2.068317,1.866353,1.963964,Pistol
2.067054,1.872317,1.973071,Pistol
2.068571,1.865227,1.967386,Pistol
2.072843,1.867806,1.966116,Pistol
2.06774,1.86711,1.971919,Pistol
1.990043,1.870746,1.968193,Pistol
1.985565,1.874225,1.962912,Pistol
1.984463,1.864819,1.962045,Pistol
1.984787,1.868073,1.956768,Pistol
1.992628,1.870565,1.95813,Pistol
1.987835,1.870522,1.962664,Pistol
1.982986,1.865291,1.959486,Pistol
1.986464,1.872529,1.959664,Pistol
1.992503,1.868278,1.962224,Pistol
1.990169,1.866895,1.95559,Pistol
1.985429,1.870178,1.961724,Pistol
1.983886,1.87203,1.963209,Pistol
1.984802,1.874115,1.959351,Pistol
1.985823,1.866619,1.954642,Pistol
1.983579,1.865683,1.959083,Pistol
1.98958,1.869214,1.963583,Pistol
1.988484,1.866539,1.963109,Pistol
1.985072,1.87403,1.958975,Pistol
1.988205,1.872425,1.96131,Pistol
1.986511,1.867085,1.963408,Pistol
1.98689,1.868462,1.957898,Pistol
1.992564,1.867554,1.956598,Pistol
1.984068,1.873285,1.952622,Pistol
1.992353,1.854168,1.953651,Pistol
1.989137,1.855001,1.954214,Pistol
1.983114,1.860023,1.952237,Pistol
1.973713,1.856524,1.960375,Pistol
1.97483,1.856561,1.953634,Pistol
1.960244,1.860151,1.952629,Pistol
1.95934,1.855314,1.958748,Pistol
1.883366,1.856294,1.952874,Pistol
1.888314,1.853093,1.954169,Pistol
1.873634,1.85224,1.942505,Pistol
1.874941,1.857067,1.940424,Pistol
1.865403,1.858099,1.945734,Pistol
1.863036,1.857284,1.937831,Pistol
1.854091,1.85829,1.938311,Pistol
1.859255,1.859277,1.943987,Pistol
1.855237,1.856704,1.93903,Pistol
1.861012,1.856033,1.93766,Pistol
1.855917,1.855831,1.939061,Pistol
1.857232,1.854702,1.94365,Pistol
1.854191,1.856241,1.940361,Pistol
1.858638,1.856895,1.944907,Pistol
1.856832,1.851981,1.939574,Pistol
1.860138,1.854679,1.944198,Pistol
1.861913,1.854795,1.944941,Pistol
1.85821,1.851635,1.940522,Pistol
1.862295,1.859356,1.940937,Pistol
1.856078,1.996274,1.941737,Pistol
1.867113,1.995849,1.945912,Pistol
1.86412,2.031281,1.939708,Pistol
1.86633,2.036976,1.939686,Pistol
1.861833,2.081937,1.948545,Pistol
1.857091,2.074864,1.957854,Pistol
1.860501,2.081686,1.956632,Pistol
1.841813,2.084278,1.956681,Pistol
1.841228,2.086028,1.952347,Pistol
1.793278,2.083239,1.959409,Pistol
1.793711,2.083319,1.961076,Pistol
1.800598,2.084368,1.956439,Pistol
1.795804,2.246316,1.959637,Pistol
1.705041,2.245611,1.953772,Pistol
1.704195,2.282393,1.956077,Pistol
1.66258,2.282119,1.953963,Pistol
1.666302,2.323388,1.960478,Pistol
1.626576,2.321521,1.959214,Pistol
1.617521,2.366589,1.956979,Pistol
1.5932,2.361126,1.956776,Pistol
1.589256,2.404679,1.957342,Pistol
1.589124,2.404596,1.967796,Pistol
1.588506,1.939884,1.964742,Pistol
2.059613,1.937204,1.966239,Pistol
2.058043,1.938512,1.968412,Pistol
1.995358,1.941057,2.5,Pistol
1.996626,1.942966,2.5,Pistol
1.989971,1.938172,2.5,Pistol
1.990185,1.937329,2.5,Pistol
1.864623,1.94677,2.5,Pistol
1.866151,1.99324,2.5,Pistol
1.796584,1.99089,2.5,Pistol
1.800455,1.994765,2.5,Pistol
1.768872,1.994451,2.5,Pistol
1.767662,1.994289,2.5,Pistol
1.734764,1.98551,2.5,Pistol
1.728031,1.987202,2.5,Pistol
1.701303,1.986176,2.5,Pistol
1.699342,1.981447,2.5,Pistol
1.667646,1.98372,2.5,Pistol
1.663722,1.979916,2.5,Pistol
1.627307,1.979239,2.5,Pistol
1.624161,1.975362,2.5,Pistol
1.630474,1.975841,2.5,Pistol
1.63532,1.976762,2.5,Pistol
1.640736,1.978562,2.5,Pistol
1.633479,1.981802,2.5,Pistol
