RMs,LMs,UMs,Class
1.898758,1.968258,1.962425,Shotgun
1.897178,1.973779,1.964571,Shotgun
1.881216,1.969541,1.962569,Shotgun
1.881673,1.974078,1.960598,Shotgun
1.882696,1.962959,1.964444,Shotgun
1.889014,1.970029,1.960657,Shotgun
1.897541,1.945018,1.964649,Shotgun
1.895543,1.944083,1.966349,Shotgun
1.895865,1.944345,1.963246,Shotgun
1.897675,1.942131,1.962525,Shotgun
1.881847,1.928198,1.967067,Shotgun
1.888716,1.925131,1.964292,Shotgun
1.897639,1.94437,1.959658,Shotgun
1.890177,1.943814,1.959051,Shotgun
1.897061,1.961962,1.963755,Shotgun
1.89196,1.956033,1.967029,Shotgun
1.896193,1.977193,1.965377,Shotgun
1.892136,1.973189,1.958791,Shotgun
1.892392,1.977304,1.958518,Shotgun
1.898708,1.970869,1.959339,Shotgun
1.893049,1.971896,1.959172,Shotgun
1.899642,1.96878,1.959835,Shotgun
1.897597,1.973736,1.95901,Shotgun
1.899188,1.969029,1.962338,Shotgun
1.896446,1.975544,1.960697,Shotgun
1.895202,1.973578,1.959619,Shotgun
1.892085,1.976056,1.961498,Shotgun
1.891461,1.968728,1.967294,Shotgun
1.897383,1.970546,1.961037,Shotgun
1.896085,1.976357,1.965945,Shotgun
1.896576,1.977441,1.965149,Shotgun
1.894558,1.975568,1.962562,Shotgun
1.899407,1.978693,1.960197,Shotgun
1.894245,1.978258,1.96271,Shotgun
1.892315,1.975962,1.966195,Shotgun
1.886841,1.976394,1.963727,Shotgun
1.888536,1.974192,1.965645,Shotgun
1.887596,1.975199,1.96599,Shotgun
1.886443,1.969444,1.967409,Shotgun
1.890302,1.972302,1.964705,Shotgun
1.886825,1.977397,1.959066,Shotgun
1.887033,1.975619,1.962468,Shotgun
1.888793,1.975968,1.965409,Shotgun
1.894739,1.978818,1.962912,Shotgun
1.887532,1.973722,1.965085,Shotgun
1.886751,1.977079,1.962211,Shotgun
1.895926,1.978213,1.961647,Shotgun
1.890009,1.975233,1.967834,Shotgun
1.890631,1.975593,1.961594,Shotgun
1.89792,1.970768,1.964854,Shotgun
1.899662,1.97207,1.960954,Shotgun
1.896775,1.977541,1.965171,Shotgun
1.896844,1.974732,1.96062,Shotgun
1.896333,1.973777,1.964567,Shotgun
1.894292,1.977698,1.963009,Shotgun
1.891919,1.975546,1.959867,Shotgun
1.895311,1.97501,1.964393,Shotgun
1.890514,1.974017,1.96122,Shotgun
1.895737,1.972108,1.966918,Shotgun
1.893446,1.973177,1.966577,Shotgun
1.883031,1.97877,1.9629,Shotgun
1.891362,1.97684,1.964506,Shotgun
1.889038,1.972288,1.966611,Shotgun
1.893186,1.977449,1.963091,Shotgun
1.890439,1.976344,1.96196,Shotgun
1.893822,1.969686,1.968096,Shotgun
1.892853,1.969892,1.9646,Shotgun
1.894013,1.970986,1.962983,Shotgun
1.884007,1.969793,1.963823,Shotgun
1.878635,1.971963,1.96486,Shotgun
1.894264,1.976868,1.966301,Shotgun
1.898086,1.976992,1.964318,Shotgun
1.893028,1.977583,1.967582,Shotgun
1.892578,1.97741,1.968162,Shotgun
1.899779,1.978101,1.964553,Shotgun
1.893547,1.977296,1.963714,Shotgun
1.893836,1.97648,1.961202,Shotgun
1.897588,1.971321,1.962307,Shotgun
1.898752,1.977822,1.965491,Shotgun
1.892327,1.973809,1.960806,Shotgun
1.899047,1.97549,1.968288,Shotgun
1.894834,1.975692,1.961902,Shotgun
1.89079,1.976704,1.967635,Shotgun
1.890332,1.973955,1.963852,Shotgun
1.892885,1.978859,1.968291,Shotgun
1.894839,1.969767,1.968202,Shotgun
1.896805,1.974881,1.962027,Shotgun
1.891462,1.976024,1.96555,Shotgun
1.898972,1.97762,1.961722,Shotgun
1.898746,1.975916,1.9658,Shotgun
1.893728,1.975306,1.962064,Shotgun
1.89066,1.973961,1.959233,Shotgun
1.897555,1.974859,1.96753,Shotgun
1.894431,1.971109,1.960326,Shotgun
1.891567,1.976324,1.960691,Shotgun
1.895448,1.975802,1.961253,Shotgun
1.893151,1.974627,1.964612,Shotgun
1.896542,1.970466,1.966126,Shotgun
1.891293,1.977913,1.967103,Shotgun
1.893801,1.972559,1.963895,Shotgun
1.89924,1.972251,1.962039,Shotgun
1.897387,1.976483,1.957559,Shotgun
1.895447,1.970853,1.960877,Shotgun
1.890714,1.968864,1.957834,Shotgun
1.89331,1.974335,1.964313,Shotgun
1.897404,1.973123,1.956786,Shotgun
1.896313,1.967106,1.959627,Shotgun
1.895222,1.968255,1.95843,Shotgun
1.891294,1.974721,1.957157,Shotgun
1.897664,1.972713,1.959282,Shotgun
1.899551,1.969511,1.964297,Shotgun
1.892292,1.970812,1.95957,Shotgun
1.892124,1.968211,1.962245,Shotgun
1.894001,1.974475,1.959371,Shotgun
1.890501,1.973801,1.957979,Shotgun
1.898664,1.975076,1.955103,Shotgun
1.895956,1.969298,1.956677,Shotgun
1.897546,1.970601,1.956717,Shotgun
1.892095,1.97076,1.958961,Shotgun
1.899723,1.970712,1.954829,Shotgun
1.890404,1.97131,1.960397,Shotgun
1.89613,1.970646,1.959584,Shotgun
1.893901,1.971777,1.952584,Shotgun
1.888387,1.973099,1.951486,Shotgun
1.891253,1.959291,1.947964,Shotgun
1.893622,1.961839,1.948241,Shotgun
1.889782,1.957109,1.955784,Shotgun
1.889332,1.961205,2.033748,Shotgun
1.894606,1.957641,2.034756,Shotgun
1.891423,1.961972,2.030009,Shotgun
1.892438,1.965687,2.031767,Shotgun
1.889948,1.959184,2.037156,Shotgun
1.891005,1.96635,2.035666,Shotgun
1.893677,1.966752,2.035093,Shotgun
1.89219,1.964375,2.032759,Shotgun
1.888835,1.96205,2.029156,Shotgun
1.887667,1.958845,2.029719,Shotgun
1.89183,1.965799,2.030343,Shotgun
1.887641,1.965519,2.034057,Shotgun
1.887988,1.963442,2.03658,Shotgun
1.88925,1.960239,2.034189,Shotgun
1.88961,1.961295,2.034975,Shotgun
1.891527,1.961262,2.030086,Shotgun
1.889029,1.964851,2.029912,Shotgun
1.889598,1.959845,2.034636,Shotgun
1.894088,1.962944,2.037307,Shotgun
1.891945,1.959133,2.035686,Shotgun
1.887123,1.9658,2.033391,Shotgun
1.893574,1.965126,2.035507,Shotgun
1.89124,1.959608,1.955249,Shotgun
1.886419,1.961579,1.953041,Shotgun
1.895273,1.96575,1.957529,Shotgun
1.886338,1.958467,1.950713,Shotgun
1.891869,1.957963,1.957458,Shotgun
1.893031,1.965819,1.953399,Shotgun
1.888166,1.964052,1.949474,Shotgun
1.89241,1.96094,1.95657,Shotgun
1.879584,1.958019,1.949859,Shotgun
1.888216,1.96346,1.949393,Shotgun
1.869927,1.96159,1.949352,Shotgun
1.874693,1.960781,1.956882,Shotgun
1.86448,1.95967,1.953831,Shotgun
1.859954,1.961529,1.949318,Shotgun
1.834961,1.960249,1.954365,Shotgun
1.833256,1.945422,1.955298,Shotgun
1.826757,1.949402,1.950435,Shotgun
1.820398,1.948295,1.952803,Shotgun
1.814387,1.951228,1.951818,Shotgun
1.814237,1.950613,1.949795,Shotgun
1.820421,1.951405,1.956026,Shotgun
1.813343,1.951084,1.955305,Shotgun
1.811707,1.9456,1.953458,Shotgun
1.818729,1.953904,1.948997,Shotgun
1.814587,1.94554,1.951097,Shotgun
1.816384,1.920868,1.954266,Shotgun
1.818572,1.921437,1.954709,Shotgun
1.823588,1.951943,1.955239,Shotgun
1.827238,1.944403,1.956397,Shotgun
1.828534,1.957973,1.953405,Shotgun
1.816609,1.964444,1.95376,Shotgun
1.819683,1.961651,1.954106,Shotgun
1.806798,1.967232,1.950714,Shotgun
