RMs,LMs,UMs,Class
1.952985,1.948504,1.932346,Smoke
1.950048,1.95315,1.928653,Smoke
1.926947,1.924299,1.904063,Smoke
1.928712,1.929918,1.901888,Smoke
1.911412,1.915494,1.892003,Smoke
1.917185,1.917786,1.889096,Smoke
1.880038,1.885461,1.874178,Smoke
1.883386,1.888111,1.871142,Smoke
1.8747,1.881388,1.859007,Smoke
1.882576,1.876413,1.864092,Smoke
1.870946,1.872863,1.857149,Smoke
1.876161,1.877768,1.849445,Smoke
1.869004,1.866964,1.695982,Smoke
1.860344,1.8653,1.69378,Smoke
1.866293,1.863608,1.682016,Smoke
1.856633,1.863339,1.686007,Smoke
1.85543,1.854716,1.685983,Smoke
1.858588,1.861292,1.687196,Smoke
1.867656,1.86042,1.682691,Smoke
1.860611,1.864232,1.688339,Smoke
1.861467,1.869331,1.684462,Smoke
1.873522,1.868332,1.683112,Smoke
1.876429,1.876458,1.849168,Smoke
1.883631,1.872725,1.852122,Smoke
1.87575,1.878889,1.862025,Smoke
1.883333,1.877746,1.857898,Smoke
1.882557,1.880764,1.868296,Smoke
1.897177,1.881311,1.865271,Smoke
1.90013,1.898541,1.877078,Smoke
1.921532,1.894743,1.877961,Smoke
1.920551,1.929657,1.893007,Smoke
1.942487,1.926038,1.893,Smoke
1.94813,1.944711,1.917887,Smoke
