RMs,LMs,UMs,Class
1.633933,1.630334,1.983139,Tablet
1.63174,1.62932,1.984728,Tablet
1.602008,1.598501,1.983891,Tablet
1.600799,1.601455,1.991179,Tablet
1.59055,1.58622,1.990557,Tablet
1.587409,1.58673,1.989897,Tablet
1.584297,1.580693,1.982399,Tablet
1.581986,1.582556,1.982277,Tablet
1.583999,1.583069,1.981834,Tablet
1.577429,1.583443,1.98979,Tablet
1.58075,1.581866,1.987706,Tablet
1.583452,1.578603,1.987447,Tablet
1.583135,1.581342,1.984432,Tablet
1.577167,1.575091,1.982261,Tablet
1.578549,1.579119,1.979531,Tablet
1.575501,1.576141,1.986903,Tablet
1.576167,1.577161,1.981712,Tablet
1.575681,1.577356,1.979194,Tablet
1.574979,1.584912,1.985221,Tablet
1.575958,1.580576,1.988037,Tablet
1.575539,1.575665,1.979566,Tablet
1.577128,1.57777,1.986747,Tablet
1.578091,1.577106,1.986521,Tablet
1.57548,1.58066,1.980424,Tablet
1.583404,1.576901,1.98145,Tablet
1.577266,1.582855,1.981423,Tablet
1.584177,1.57564,1.987077,Tablet
1.576265,1.575314,1.979722,Tablet
1.580442,1.576915,1.983128,Tablet
1.578712,1.582961,1.986349,Tablet
1.581865,1.577822,1.982999,Tablet
1.575195,1.578168,1.981171,Tablet
1.579056,1.583054,1.983267,Tablet
1.582646,1.583031,1.97929,Tablet
1.577102,1.582028,1.98695,Tablet
1.582341,1.583663,1.979138,Tablet
1.582069,1.583279,1.986458,Tablet
1.583103,1.58461,1.985716,Tablet
1.575854,1.577519,1.979861,Tablet
1.583375,1.575889,1.981668,Tablet
1.584349,1.583077,1.981959,Tablet
1.580119,1.584234,1.987238,Tablet
1.583165,1.580746,1.982955,Tablet
1.582055,1.583466,1.98363,Tablet
1.576542,1.583582,1.983205,Tablet
1.579814,1.577579,1.982535,Tablet
1.582515,1.581408,1.985791,Tablet
1.57812,1.57602,1.979093,Tablet
1.583564,1.580476,1.988269,Tablet
1.581192,1.578986,1.987842,Tablet
1.578333,1.583475,1.986399,Tablet
1.583583,1.583712,1.988627,Tablet
1.577187,1.575923,1.984714,Tablet
1.581227,1.579518,1.983127,Tablet
1.579308,1.583786,1.983389,Tablet
1.581016,1.578377,1.98325,Tablet
1.57545,1.578025,1.987553,Tablet
1.584491,1.578515,1.983505,Tablet
1.576967,1.581424,1.986124,Tablet
1.576266,1.578984,1.987414,Tablet
1.579758,1.583056,1.98634,Tablet
1.575812,1.579822,1.982876,Tablet
1.579399,1.575322,1.979515,Tablet
1.581061,1.583038,1.979075,Tablet
1.583106,1.579327,1.984128,Tablet
1.583527,1.582345,1.986852,Tablet
1.578411,1.577036,1.982842,Tablet
1.575586,1.576804,1.985114,Tablet
1.57723,1.582585,1.981915,Tablet
1.584639,1.580817,1.984066,Tablet
1.584039,1.584377,1.979708,Tablet
1.574969,1.584797,1.979954,Tablet
1.575887,1.578903,1.980296,Tablet
1.578542,1.58302,1.979796,Tablet
1.583929,1.580997,1.980356,Tablet
1.581478,1.583953,1.986609,Tablet
1.58013,1.581667,1.987268,Tablet
1.576751,1.582282,1.981184,Tablet
1.584295,1.575385,1.980161,Tablet
1.581228,1.582983,1.979098,Tablet
1.578794,1.578242,1.979529,Tablet
1.581424,1.584725,1.981621,Tablet
1.576408,1.57565,1.983856,Tablet
1.583976,1.574962,1.981797,Tablet
1.5789,1.583445,1.980542,Tablet
1.58062,1.57615,1.988033,Tablet
1.575227,1.576763,1.988761,Tablet
1.575386,1.583264,1.980875,Tablet
1.578192,1.581663,1.987664,Tablet
1.575367,1.578864,1.986071,Tablet
1.577464,1.584567,1.98152,Tablet
1.578129,1.576908,1.980881,Tablet
1.580542,1.583558,1.981602,Tablet
1.578704,1.575825,1.984016,Tablet
1.579567,1.57508,1.981913,Tablet
1.582017,1.583553,1.986677,Tablet
1.582647,1.577717,1.988468,Tablet
1.578546,1.582885,1.985543,Tablet
1.579607,1.574992,1.985485,Tablet
1.575851,1.577428,1.979455,Tablet
1.580903,1.583799,1.984617,Tablet
1.581104,1.580519,1.98759,Tablet
1.575535,1.582853,1.983158,Tablet
1.581258,1.578215,1.98338,Tablet
1.582866,1.584302,1.98434,Tablet
1.57728,1.57976,1.981467,Tablet
1.581671,1.575645,1.986789,Tablet
1.583494,1.583774,1.982724,Tablet
1.575085,1.576392,1.983582,Tablet
1.581496,1.578218,1.98384,Tablet
1.583085,1.583915,1.984908,Tablet
1.578952,1.585575,1.988829,Tablet
1.590284,1.590225,1.980846,Tablet
1.589558,1.59603,1.98042,Tablet
1.594971,1.592074,1.979099,Tablet
1.596331,1.618237,1.980452,Tablet
1.620445,1.613821,1.984302,Tablet
1.62045,1.619751,1.982877,Tablet
1.613466,1.61754,1.979238,Tablet
